Date,Transaction ID,Vendor ID,Vendor Name,Vendor Email,Amount,Details,Tax%,Tax Amount,Discount%,Discount Amount
02/23/2019 00:00:00,714626335,3101102,Gabriel J. Austin,RottenThunder@mailinator.com,10056,"""Item1:2:200,Item2:2:300""",18,1810.08,,
02/04/2019 00:00:00,714596604,3103100,Crystal J. Smith,PunchyHoneybee@mailinator.com,10067,"""Item2:4:100,Item4:1:600""",18,1812.06,,
01/24/2019 00:00:00,714580847,3108124,Norbert R. Bloomfield,ThumbBubbles@mailinator.com,10070,"""Item9:5:50,Item4:3:150""",18,1812.6,,
01/21/2019 00:00:00,714574290,3108127,Isabel M. Chase,ClueMumbler@mailinator.com,10073,"""Item2:4:100,Item4:1:600""",18,1813.14,,
04/28/2018 00:00:00,714187024,3108130,Ruth P. Thompson,SugarBummer@mailinator.com,10076,"""Item9:5:50,Item4:3:150""",18,1813.68,,
01/23/2018 00:00:00,714042397,3101101,Denise J. McClure,ShabbyMouse@mailinator.com,10078,"""Item4:1:300,Item5:1:300""",18,1814.04,,
01/24/2018 00:00:00,714042398,3103100,Crystal J. Smith,PunchyHoneybee@mailinator.com,10079,"""Item2:4:100,Item4:1:600""",18,1814.22,,
01/25/2018 00:00:00,714042399,3108122,Leon G. Heard,RottenKidder@mailinator.com,10080,"""Item7:3:75,Item2:1:350""",18,1814.4,,
01/26/2018 00:00:00,714042400,3108123,Lila C. Barrera,FragrantCat@mailinator.com,10081,"""Item2:4:100,Item3:1:600""",18,1814.58,,
01/28/2018 00:00:00,714042402,3108125,Eleanor J. Mosqueda,RhymeStick@mailinator.com,10083,"""Item1:2:200,Item2:2:300""",18,1814.94,,
01/29/2018 00:00:00,714042403,3108126,Raymond C. Jones,BitSir@mailinator.com,10084,"""Item4:1:300,Item5:1:300""",18,1815.12,,
01/30/2018 00:00:00,714042404,3108127,Isabel M. Chase,ClueMumbler@mailinator.com,10085,"""Item2:4:100,Item4:1:600""",18,1815.3,,
02/01/2018 00:00:00,714042406,3108129,Mark G. Ferguson,DinkleBoy@mailinator.com,10087,"""Item2:4:100,Item3:1:600""",18,1815.66,,
02/02/2018 00:00:00,714042407,3108130,Ruth P. Thompson,SugarBummer@mailinator.com,10088,"""Item9:5:50,Item4:3:150""",18,1815.84,,
02/03/2018 00:00:00,714042408,3101102,Gabriel J. Austin,RottenThunder@mailinator.com,10089,"""Item1:2:200,Item2:2:300""",18,1816.02,,
02/05/2018 00:00:00,714042410,3103100,Crystal J. Smith,PunchyHoneybee@mailinator.com,10091,"""Item2:4:100,Item4:1:600""",18,1816.38,,
02/06/2018 00:00:00,714042411,3108122,Leon G. Heard,RottenKidder@mailinator.com,10092,"""Item7:3:75,Item2:1:350""",18,1816.56,,
02/07/2018 00:00:00,714042412,3108123,Lila C. Barrera,FragrantCat@mailinator.com,10093,"""Item2:4:100,Item3:1:600""",18,1816.74,,
02/08/2018 00:00:00,714042413,3108124,Norbert R. Bloomfield,ThumbBubbles@mailinator.com,10094,"""Item9:5:50,Item4:3:150""",18,1816.92,,
